player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yw3gzi3ijyn4yhnbvd5c",SF,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,7,0,0,-2.38486783113331,0,0,0.0769230769230769,0.0336538461538462,0.138942307692308,0,0,0
00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fuutugtpr0nikfvjwk67",MIN,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,36,0,0,0,27,12,2,0.497465591994114,0,1.33333333333333,0.129032258064516,0.166666666666667,0.310215053763441,0,3.6,6.6
00-0030061,Z.Ertz,Zach Ertz,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u5sxvgvz0pujcgrsjenk",ARI,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,4,14,1,0,0,22,4,1,1.13585290452465,1,0.636363636363636,0.111111111111111,0.0827067669172932,0.224561403508772,0,9.4,11.4
00-0030068,M.Goodwin,Marquise Goodwin,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pmssb3pyiripkxwqmnqp",SEA,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,22,0,0,0,22,0,1,1.23339487586827,0,1,0.0740740740740741,0.162962962962963,0.225185185185185,0,2.2,4.2
00-0030108,R.Griffin,Ryan Griffin,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/izjfxtmk2dhzhrlwpt9g",CHI,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,29,0,0,-1.03816040535457,0,0,0.117647058823529,0.179012345679012,0.301779230210603,0,0,0
00-0030279,K.Allen,Keenan Allen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i1fgxnhxvwdusljchnsv",LAC,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,4,66,0,0,0,52,14,2,4.2673814696027,0,1.26923076923077,0.117647058823529,0.221276595744681,0.331364205256571,0,6.6,10.6
00-0030288,R.Burkhead,Rex Burkhead,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ysgdnkasvp07qmrkasve",HOU,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,14,40,0,0,0,1,-4.07322295609629,0,5,8,30,0,0,0,3,30,1,-1.54419890709687,0,10,0.222222222222222,0.0114068441064639,0.341318124207858,0,7,12
00-0030431,R.Woods,Robert Woods,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/reiacycshzdzlvjwdity",TEN,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,13,0,0,0,30,0,1,-0.160423946334049,0,0.433333333333333,0.0645161290322581,0.103448275862069,0.169187986651835,0,1.3,2.3
00-0030506,T.Kelce,Travis Kelce,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gorkhvipsk0gdqb6bo34",KC,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,8,9,121,1,0,0,95,34,7,11.6258695430796,0,1.27368421052632,0.230769230769231,0.3125,0.564903846153846,0,18.1,26.1
00-0030565,G.Smith,Geno Smith,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jdkrvzqqhkbg62hstgtw",SEA,2022,1,REG,23,28,195,2,0,2,18,1,0,144,89,9,8.27417397450381,0,1.35416666666667,0.210157158884037,6,14,0,0,0,1,-2.87951385427732,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,17.2,17.2
00-0030578,C.Patterson,Cordarrelle Patterson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ncyzuofecpl1v63vznp6",ATL,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,22,120,1,0,0,10,2.39526598603698,0,3,5,16,0,0,0,18,10,1,-0.331595937844891,0,0.888888888888889,0.15625,0.0638297872340426,0.27905585106383,0,19.6,22.6
00-0030874,D.Williams,Damien Williams,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ga4vusnfwfvhp2ksqw7x",ATL,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,2,0,0,0,0,-1.12978465296328,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.2,0.2
00-0031236,B.Cooks,Brandin Cooks,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fsvyyiinddsyo87r9l3t",HOU,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,7,12,82,0,0,0,131,11,4,-1.16668155076629,0,0.625954198473283,0.333333333333333,0.498098859315589,0.848669201520913,0,8.2,15.2
00-0031260,L.Thomas,Logan Thomas,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qzubfqjw16z37rm7se0d",WAS,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,6,45,0,0,0,70,19,2,3.3000864693895,0,0.642857142857143,0.146341463414634,0.241379310344828,0.388477712363331,0,4.5,7.5
00-0031273,C.Brate,Cameron Brate,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lh1e0z6x8k9hqz1aba5b",TB,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,3,7,0,0,0,15,1,1,-1.44549179909518,0,0.466666666666667,0.111111111111111,0.0491803278688525,0.201092896174863,0,0.7,1.7
00-0031280,D.Carr,Derek Carr,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l1eqjrajbnisr91dmlcl",LV,2022,1,REG,22,37,295,2,3,5,29,2,0,341,126,17,-4.54595887027065,0,0.865102639296188,0.0142008150146106,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,13.8,13.8
00-0031325,S.Watkins,Sammy Watkins,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nkqk4ac4uncxocqlgp2k",GB,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,3,18,0,0,0,2,16,2,1.19284095382318,0,9,0.0857142857142857,0.00952380952380953,0.135238095238095,0,1.8,4.8
00-0031376,J.McKinnon,Jerick McKinnon,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kymimlahjvox7vv3vevi",KC,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,4,22,0,0,0,1,-0.43029585108161,0,3,4,27,0,0,0,-3,41,1,1.37782717481605,0,-9,0.102564102564103,-0.00986842105263158,0.146938259109312,0,4.9,7.9
00-0031381,D.Adams,Davante Adams,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jmojceirzhgctrcfi4aw",LV,2022,1,REG,0,0,0,0,0,1,10,0,0,0,0,0,-1.80456407845486,0,,,0,0,0,0,0,0,,0,10,17,141,1,0,0,177,62,8,5.19271303576534,0,0.796610169491525,0.485714285714286,0.533132530120482,1.10176419965577,0,20.1,30.1
00-0031382,J.Landry,Jarvis Landry,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w2q9uwsjvgadwyvnvopb",NO,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,7,9,114,0,0,0,123,15,4,4.50133623124502,0,0.926829268292683,0.28125,0.412751677852349,0.710801174496644,0,11.4,18.4
00-0031384,R.Rodgers,Richard Rodgers,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l9zei9dkcmbml3q1nshk",LAC,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,-0.229189833567943,0,0,0.0294117647058824,0.00425531914893617,0.0470963704630788,0,0,0
00-0031408,M.Evans,Mike Evans,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hp7exmuqylysgife5p9m",TB,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,7,71,1,0,0,90,10,5,2.65326032391749,0,0.788888888888889,0.259259259259259,0.295081967213115,0.595446265938069,0,13.1,18.1
00-0031428,A.Robinson,Allen Robinson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q9aj6lloix5ocf7xk8ry",LA,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,12,0,0,0,28,0,0,-2.10468805202981,0,0.428571428571429,0.0487804878048781,0.117154811715481,0.155179099908154,0,1.2,2.2
00-0031503,J.Winston,Jameis Winston,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dccgvojszpt06iwtmgv7",NO,2022,1,REG,23,34,269,2,0,4,35,0,0,297,62,12,1.23577283550773,1,0.905723905723906,0.108692186439432,2,9,0,0,0,0,-0.977529558818787,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,21.66,21.66
00-0031544,A.Cooper,Amari Cooper,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zibbxjtein7gpu5zgcj4",CLE,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,6,17,0,0,0,63,6,0,-4.74890376831172,0,0.26984126984127,0.2,0.277533039647577,0.494273127753304,0,1.7,4.7
00-0031547,D.Parker,DeVante Parker,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cgbhrfcqdoe3yvpsic04",NE,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,9,0,0,0,26,5,1,-5.29923196486197,0,0.346153846153846,0.0666666666666667,0.0931899641577061,0.165232974910394,0,0.9,1.9
00-0031549,N.Agholor,Nelson Agholor,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lzwbfozvtpqpht74alh0",NE,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,5,28,0,1,1,52,23,1,-1.82188996870536,0,0.538461538461538,0.166666666666667,0.186379928315412,0.380465949820789,0,0.8,3.8
00-0031588,S.Diggs,Stefon Diggs,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hcvd2avk0kufoli80veb",BUF,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,8,9,122,1,0,0,99,27,5,10.8274558605626,0,1.23232323232323,0.290322580645161,0.436123348017621,0.740770214580077,0,18.2,26.2
00-0031610,D.Waller,Darren Waller,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c7jaefxw5xiawscvnqc0",LV,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,6,79,0,0,0,83,27,4,0.025576882332512,0,0.951807228915663,0.171428571428571,0.25,0.432142857142857,0,7.9,11.9
00-0031687,R.Mostert,Raheem Mostert,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ukk92rkuyqdyx3sigj5z",MIA,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,5,16,0,0,0,2,-0.576663784158882,0,1,1,16,0,0,0,2,14,1,0.907143781427294,0,8,0.032258064516129,0.00769230769230769,0.0537717121588089,0,3.2,4.2
00-0031690,E.Tomlinson,Eric Tomlinson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/swiwooxium4wmas8wq4c",DEN,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,3,0,0,-0.407143039745279,0,0,0.024390243902439,0.0107913669064748,0.0441393226881909,0,0,0
00-0031763,D.Carter,DeAndre Carter,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fgkf5m167nupk3jv3w5w",LAC,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,64,1,0,0,77,5,3,4.72362183278892,0,0.831168831168831,0.117647058823529,0.327659574468085,0.405832290362954,0,12.4,15.4
00-0031941,J.Crowder,Jamison Crowder,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gcupjxhtzwve2kidaulz",BUF,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,28,0,0,0,24,16,3,-0.835465132608078,0,1.16666666666667,0.129032258064516,0.105726872246696,0.267557197669461,0,2.8,5.8
00-0032054,B.Perriman,Breshad Perriman,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yaurjahdzk6pski1lvcp",TB,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,-7,0,0,0,0,-2.18240024754778,0,0,3,0,0,0,0,86,0,0,-1.94337867377961,0,0,0.111111111111111,0.281967213114754,0.364043715846995,0,-0.7,-0.7
00-0032063,M.Davis,Mike Davis,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/csrqinegeyunycijua2q",BAL,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,11,0,1,0,1,-0.137399752391502,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1.1,1.1
00-0032104,A.Abdullah,Ameer Abdullah,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ischbuioesyvw4w0fjxv",LV,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,17,0,0,-0.778982576914132,0,0,0.0285714285714286,0.0512048192771084,0.0787005163511188,0,0,0
00-0032128,C.Conley,Chris Conley,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kr0sv1dlpubdrigr0ve2",HOU,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,18,0,0,-2.07062873849645,0,0,0.0555555555555556,0.0684410646387833,0.131242078580482,0,0,0
00-0032141,G.Swaim,Geoff Swaim,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zkurufp1suswhdb611hs",TEN,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,19,0,0,0,4,19,1,0.260949969582725,0,4.75,0.129032258064516,0.0137931034482759,0.203203559510567,0,1.9,4.9
00-0032144,M.Gordon,Melvin Gordon,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i4g8x7yotpgszlyanow0",DEN,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,12,58,0,1,1,2,-4.17942285357276,0,2,2,14,0,0,0,7,7,0,0.000340620123984614,0,2,0.0487804878048781,0.0251798561151079,0.0907966309878926,0,5.2,7.2
00-0032200,T.Montgomery,Ty Montgomery,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u45mse464fs7zxylwudr",NE,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,-2,0,0,0,0,-3.09117927588522,0,3,4,15,1,0,0,13,7,1,2.18084644415649,0,1.15384615384615,0.133333333333333,0.0465949820788531,0.232616487455197,0,7.3,10.3
00-0032208,P.Dorsett,Phillip Dorsett,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wta1whv8pvjhmndkrnxy",HOU,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,5,0,0,-0.886862312210724,0,0,0.0277777777777778,0.0190114068441065,0.0549746514575412,0,0,0
00-0032211,T.Lockett,Tyler Lockett,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z3gwnzhfaiq9dkhx1ui5",SEA,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,28,0,0,0,29,5,2,2.71325352042913,0,0.96551724137931,0.148148148148148,0.214814814814815,0.372592592592593,0,2.8,5.8
00-0032214,T.Kroft,Tyler Kroft,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jatdbdpswqdwvukemp1t",SF,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,9,0,0,0,33,3,0,-0.324232539511286,0,0.272727272727273,0.0769230769230769,0.158653846153846,0.226442307692308,0,0.9,1.9
00-0032268,M.Mariota,Marcus Mariota,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sd59iwjj69atxaqjti1r",ATL,2022,1,REG,20,33,215,0,0,0,0,0,0,282,78,8,5.02130332992631,0,0.762411347517731,0.0619536898475156,12,72,1,2,1,3,-1.74504733912181,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,19.8,19.8
00-0032385,S.Shepard,Sterling Shepard,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ftqdcadfmh5jb4fwqqxx",NYG,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,4,71,1,0,0,42,28,1,4.23054154589772,0,1.69047619047619,0.19047619047619,0.35,0.530714285714286,0,13.1,15.1
