season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2022,REG,0,Austin Hooper,TE,TEN,7.215000000000001,3.2660251594959986,7.773999999999998,10.049380800951418,5,10,50,48,0,2.9700000000000015,4.30108590189443,-1.3310859018944283,00-0032392,Austin,Hooper,81,A.Hooper
2022,REG,0,Jahan Dotson,WR,WAS,7.194285714285715,3.219486466375876,16.167727272727273,26.217485202957196,12,22,54.54545454545454,152,4,1.979166666666666,2.313850614821073,-0.33468394815440705,00-0037741,Jahan,Dotson,1,J.Dotson
2022,REG,0,Mack Hollins,WR,LV,7.178800000000001,2.5207875041837595,12.833199999999998,25.90514178670628,17,25,68,273,1,4.4805882352941175,2.6585964412810297,1.8219917940130879,00-0033555,Mack,Hollins,10,M.Hollins
2022,REG,0,Brandin Cooks,WR,HOU,7.171388888888889,2.7468699184609706,8.954166666666667,31.11636662001062,20,36,55.55555555555556,215,1,2.8024999999999993,3.848726990565172,-1.0462269905651729,00-0031236,Brandin,Cooks,13,B.Cooks
2022,REG,0,Ben Skowronek,WR,LAR,7.144615384615384,4.02990148307912,8.927500000000002,14.93860988516807,12,16,75,140,0,5.556666666666666,5.699592107545737,-0.142925440879071,00-0036862,Ben,Skowronek,18,B.Skowronek
2022,REG,0,Brandon Aiyuk,WR,SF,7.108181818181818,2.7329071501944684,10.500434782608695,32.277508252809966,14,23,60.86956521739131,179,1,6.602142857142858,6.934400262646453,-0.3322574055035954,00-0036261,Brandon,Aiyuk,11,B.Aiyuk
2022,REG,0,Josh Reynolds,WR,DET,7.042272727272726,2.829321985796439,13.683750000000002,24.596130945693936,17,24,70.83333333333334,243,2,3.859411764705883,3.8776934464845465,-0.018281681778663295,00-0033943,Joshua Dedmon-Reynolds,Reynolds,8,J.Reynolds
2022,REG,0,Robby Anderson,WR,CAR,7.039090909090908,2.9863810737033507,11.266363636363636,32.80220216510944,12,22,54.54545454545454,174,1,5.595833333333334,4.001087714967402,1.5947456183659323,00-0032688,Robby,Anderson,3,R.Anderson
2022,REG,0,Marquez Valdes-Scantling,WR,KC,6.995217391304347,3.024175923800538,10.845652173913043,22.35054834778869,13,23,56.52173913043478,168,0,4.573846153846154,4.6918075030854025,-0.11796134923924839,00-0034272,Marquez,Valdes-Scantling,11,M.Valdes-Scantling
2022,REG,0,D.J. Chark,WR,DET,6.983888888888888,1.6882360964170258,18.21722222222222,24.558683652758738,7,18,38.88888888888889,98,1,3.1014285714285705,2.7085955467011575,0.392833024727413,00-0034777,Darrell,Chark,4,D.Chark
