season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2022,REG,0,Dameon Pierce,RB,HOU,3.5904792746114,20,2.9336153846153854,165,772,642.8156088901815,129.18439110981853,4.678787878787879,0.78293570369587,0.4121212121212121,3,00-0037258,Dameon,Pierce,31,D.Pierce
2022,REG,0,Cordarrelle Patterson,RB,ATL,3.541865671641792,26.31578947368421,2.803507042253521,76,402,333.76291186132744,64.23708813867256,5.2894736842105265,0.8564945085156341,0.52,5,00-0030578,Cordarrelle,Patterson,84,C.Patterson
2022,REG,0,Eno Benjamin,RB,ARI,3.866020066889633,8.571428571428571,2.9192741935483877,70,299,289.9200191617599,-2.9200191617599103,4.271428571428571,-0.04358237554865538,0.40298507462686567,2,00-0036383,Eno,Benjamin,26,E.Benjamin
2022,REG,0,Rashaad Penny,RB,SEA,3.0492196531791906,28.07017543859649,2.9149245283018854,57,346,264.7798776276034,71.22012237239659,6.0701754385964914,1.2949113158617562,0.45454545454545453,2,00-0034750,Rashaad,Penny,20,R.Penny
2022,REG,0,Nick Chubb,RB,CLE,3.6000221238938055,33.75,3.0914933333333336,160,904,603.9248262382048,298.0751737617952,5.65,1.8746866274326743,0.5031446540880503,11,00-0034791,Nicholas,Chubb,24,N.Chubb
2022,REG,0,Dalvin Cook,RB,MIN,3.6685557083906466,17.93103448275862,2.9166718749999996,145,727,656.2155565321373,32.78444346786273,5.0137931034482754,0.23087636244973753,0.3591549295774648,6,00-0033893,Dalvin,Cook,4,D.Cook
2022,REG,0,Austin Ekeler,RB,LAC,3.936119733924612,15.384615384615385,2.808736263736264,104,451,390.4232179667492,56.57678203325082,4.336538461538462,0.5657678203325083,0.36,6,00-0033699,Austin,Ekeler,30,A.Ekeler
2022,REG,0,Damien Harris,RB,NE,3.669536423841059,19.718309859154928,2.650838235294118,71,302,298.71139423864685,3.2886057613531534,4.253521126760563,0.046318391004973994,0.4788732394366197,3,00-0035657,Damien,Harris,37,D.Harris
2022,REG,0,Latavius Murray,RB,DEN,3.7824423963133644,17.543859649122805,2.6621481481481486,57,217,235.60663318581382,-21.60663318581382,3.807017543859649,-0.3928478761057058,0.45454545454545453,3,00-0030513,Latavius,Murray,28,L.Murray
2022,REG,0,Kareem Hunt,RB,CLE,4.2814968152866255,25.301204819277107,3.030148648648648,83,314,282.7431575625109,31.256842437489126,3.783132530120482,0.3765884631022786,0.40963855421686746,3,00-0033923,Kareem,Hunt,27,K.Hunt
2022,REG,0,Miles Sanders,RB,PHI,3.4061690140845067,20.97902097902098,2.8291538461538455,143,710,628.0819047100399,54.91809528996009,4.965034965034965,0.3894900375174475,0.4326241134751773,6,00-0035243,Miles,Sanders,26,M.Sanders
2022,REG,0,Najee Harris,RB,PIT,4.350347826086957,20.3125,2.7528103448275867,128,460,527.4365995344394,-76.43659953443944,3.59375,-0.6114927962755154,0.296,1,00-0036893,Najee,Harris,22,N.Harris
2022,REG,0,Leonard Fournette,RB,TB,4.367662337662338,23.703703703703706,2.8254508196721306,135,462,500.9543986309215,-42.9543986309215,3.422222222222222,-0.3229654032400113,0.39097744360902253,3,00-0033856,Leonard,Fournette,7,L.Fournette
2022,REG,0,Aaron Jones,RB,GB,3.616720867208672,11.450381679389313,2.7753025210084044,131,738,545.4493401630496,130.55065983695044,5.633587786259542,1.0700873757127085,0.5245901639344263,2,00-0033293,Aaron,Jones,33,A.Jones
2022,REG,0,Jeffery Wilson,RB,MIA,3.2355329153605017,22.88135593220339,2.673981132075472,118,638,472.81759250051454,164.18240749948546,5.406779661016949,1.4032684401665425,0.4444444444444444,3,00-0034115,Jeffery,Wilson,23,J.Wilson
2022,REG,0,Rachaad White,RB,TB,3.974189189189189,15,2.695267857142856,60,222,226.3443453972332,-4.344345397233212,3.7,-0.07240575662055354,0.36666666666666664,1,00-0037256,Rachaad,White,29,R.White
2022,REG,0,Melvin Gordon,RB,DEN,4.592439024390247,13.414634146341465,2.788621621621622,82,287,330.877121809345,-56.877121809345,3.5,-0.7109640226168125,0.3875,2,00-0032144,Melvin,Gordon,25,M.Gordon
2022,REG,0,Derrick Henry,RB,TEN,3.7838136511375953,38.613861386138616,2.7137759562841537,202,923,784.1567989206771,84.84320107932285,4.569306930693069,0.4350933388683223,0.41025641025641024,9,00-0032764,Derrick,Henry,22,D.Henry
2022,REG,0,Tyler Allgeier,RB,ATL,3.9501354401805893,32.35294117647059,2.886135416666667,102,443,339.24899790421847,60.75100209578153,4.3431372549019605,0.6075100209578153,0.47,1,00-0037263,Tyler,Allgeier,25,T.Allgeier
2022,REG,0,Rhamondre Stevenson,RB,NE,3.4217637540453074,21.705426356589147,2.7965603448275864,129,618,545.0248596340599,66.97514036594009,4.790697674418604,0.5315487330630166,0.40476190476190477,4,00-0036875,Rhamondre,Stevenson,38,R.Stevenson
2022,REG,0,Kenneth Walker,RB,SEA,3.9269676320272584,25.6198347107438,3.075480769230769,121,587,474.14691230589585,111.85308769410415,4.851239669421488,0.9399419133958332,0.3277310924369748,7,00-0038134,Kenneth,Walker,9,K.Walker
2022,REG,0,Khalil Herbert,RB,CHI,3.1237480559875594,25,2.8385961538461526,108,643,433.7549584281858,204.24504157181423,5.953703703703703,1.908832164222563,0.5046728971962616,4,00-0036906,Khalil,Herbert,24,K.Herbert
